Area Type,Area Name,Period,SOC Level,Standard Occupational Classification (SOC),Occupational Title,Base Year Employment Estimate,Projected Year Employment Estimate,Numeric Change,Percentage Change,Exits,Transfers,Total Job Openings,Median Hourly Wage,Median Annual Wage,Entry Level Education,Work Experience,Job Training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,3,39-5000,Personal Appearance Workers,1060,1790,730,68.9,690,730,2150,0.00,0,N/A,N/A,N/A
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,39-5012,"Hairdressers, Hairstylists, and Cosmetologists",350,540,190,54.3,220,240,650,15.00,"31,200",Postsecondary non-degree award,None,None
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,39-5092,Manicurists and Pedicurists,560,1020,460,82.1,380,400,1240,15.00,"31,200",Postsecondary non-degree award,None,None
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,39-5094,Skincare Specialists,100,160,60,60.0,60,70,190,18.63,"38,762",Postsecondary non-degree award,None,None
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,3,39-6000,"Baggage Porters, Bellhops, and Concierges",70,90,20,28.6,40,60,120,0.00,0,N/A,N/A,N/A
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,3,39-7000,Tour and Travel Guides,70,90,20,28.6,50,80,150,0.00,0,N/A,N/A,N/A
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,39-7010,Tour and Travel Guides,70,90,20,28.6,50,80,150,15.21,"31,641",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,3,39-9000,Other Personal Care and Service Workers,2530,2990,460,18.2,1700,2290,4450,0.00,0,N/A,N/A,N/A
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,39-9011,Childcare Workers,1150,1190,40,3.5,790,820,1650,15.47,"32,184",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,39-9031,Fitness Trainers and Aerobics Instructors,390,620,230,59.0,290,470,990,23.87,"49,646",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,39-9032,Recreation Workers,640,750,110,17.2,410,660,1180,15.47,"32,163",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,39-9041,Residential Advisors,230,280,50,21.7,130,230,410,18.18,"37,802",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,39-9098,"Crematory Operators and Personal Care and Service Workers, All Other",120,160,40,33.3,80,110,230,0.00,0,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,2,41-0000,Sales and Related Occupations,34060,35610,1550,4.6,18990,27890,48430,15.00,"31,200",N/A,N/A,N/A
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,3,41-1000,Supervisors of Sales Workers,4010,4030,20,0.5,1380,2720,4120,0.00,0,N/A,N/A,N/A
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,41-1011,First-Line Supervisors of Retail Sales Workers,3460,3520,60,1.7,1230,2400,3690,18.84,"39,186",High school diploma or equivalent,Less than 5 years,None
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,41-1012,First-Line Supervisors of Non-Retail Sales Workers,550,510,-40,-7.3,160,320,440,37.33,"77,644",High school diploma or equivalent,Less than 5 years,None
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,3,41-2000,Retail Sales Workers,20360,21100,740,3.6,14240,18170,33150,0.00,0,N/A,N/A,N/A
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,41-2011,Cashiers,10010,10140,130,1.3,8570,9640,18340,15.00,"31,200",No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,41-2021,Counter and Rental Clerks,1550,1550,0,0.0,700,1060,1760,16.09,"33,478",No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,41-2022,Parts Salespersons,930,1010,80,8.6,410,740,1230,18.12,"37,697",No formal educational credential,None,Moderate-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,41-2031,Retail Salespersons,7800,8310,510,6.5,4500,6650,11660,15.00,"31,200",No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,3,41-3000,"Sales Representatives, Services",4030,4320,290,7.2,1160,3080,4530,0.00,0,N/A,N/A,N/A
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,41-3011,Advertising Sales Agents,200,200,0,0.0,60,180,240,28.78,"59,853",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,41-3021,Insurance Sales Agents,1270,1330,60,4.7,430,730,1220,28.52,"59,332",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,41-3031,"Securities, Commodities, and Financial Services Sales Agents",670,700,30,4.5,150,430,610,24.20,"50,342",Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,41-3041,Travel Agents,50,50,0,0.0,20,30,50,22.51,"46,811",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",1850,2030,180,9.7,490,1710,2380,24.79,"51,561",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,3,41-4000,"Sales Representatives, Wholesale and Manufacturing",3310,3720,410,12.4,1040,2370,3820,0.00,0,N/A,N/A,N/A
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",310,360,50,16.1,100,230,380,40.17,"83,550",Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",3000,3360,360,12.0,940,2150,3450,30.96,"64,394",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,3,41-9000,Other Sales and Related Workers,2360,2440,80,3.4,1180,1540,2800,0.00,0,N/A,N/A,N/A
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,41-9011,Demonstrators and Product Promoters,150,170,20,13.3,180,110,310,17.20,"35,770",No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,41-9021,Real Estate Brokers,210,220,10,4.8,90,100,200,36.55,"76,019",High school diploma or equivalent,Less than 5 years,None
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,41-9022,Real Estate Sales Agents,810,840,30,3.7,350,360,740,23.91,"49,728",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,41-9041,Telemarketers,150,60,-90,-60.0,50,110,70,15.00,"31,200",No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",100,90,-10,-10.0,70,50,110,0.00,0,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,41-9099,"Sales and Related Workers, All Other",890,990,100,11.2,430,770,1300,17.08,"35,530",High school diploma or equivalent,None,None
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,2,43-0000,Office and Administrative Support Occupations,46450,46810,360,0.8,22040,28110,50510,19.68,"40,938",N/A,N/A,N/A
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,3,43-1000,Supervisors of Office and Administrative Support Workers,3510,3650,140,4.0,1330,2190,3660,0.00,0,N/A,N/A,N/A
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,43-1011,First-Line Supervisors of Office and Administrative Support Workers,3510,3650,140,4.0,1330,2190,3660,29.29,"60,913",High school diploma or equivalent,Less than 5 years,None
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,3,43-2000,Communications Equipment Operators,330,200,-130,-39.4,140,160,170,0.00,0,N/A,N/A,N/A
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,43-2011,"Switchboard Operators, Including Answering Service",270,150,-120,-44.4,110,120,110,18.19,"37,847",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,3,43-3000,Financial Clerks,7360,7320,-40,-0.5,3770,4080,7810,0.00,0,N/A,N/A,N/A
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,43-3011,Bill and Account Collectors,350,310,-40,-11.4,120,230,310,18.93,"39,377",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,43-3021,Billing and Posting Clerks,1130,1220,90,8.0,480,720,1290,22.04,"45,830",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",4420,4450,30,0.7,2600,2260,4890,22.83,"47,475","Some college, no degree",None,Moderate-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,43-3051,Payroll and Timekeeping Clerks,450,420,-30,-6.7,210,240,420,23.50,"48,890",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,43-3061,Procurement Clerks,150,140,-10,-6.7,40,90,120,21.76,"45,268",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,43-3071,Tellers,750,630,-120,-16.0,280,430,590,17.88,"37,201",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,43-3099,"Financial Clerks, All Other",60,70,10,16.7,20,50,80,23.50,"48,890",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,3,43-4000,Information and Record Clerks,12220,12450,230,1.9,5760,8380,14370,0.00,0,N/A,N/A,N/A
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,43-4031,"Court, Municipal, and License Clerks",380,410,30,7.9,190,200,420,26.76,"55,656",High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,43-4051,Customer Service Representatives,4440,4410,-30,-0.7,2080,3480,5530,18.56,"38,596",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,43-4061,"Eligibility Interviewers, Government Programs",2540,2560,20,0.8,940,1320,2280,23.50,"48,890",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,43-4071,File Clerks,220,180,-40,-18.2,110,120,190,18.67,"38,846",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,43-4081,"Hotel, Motel, and Resort Desk Clerks",270,310,40,14.8,170,310,520,15.00,"31,200",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,43-4111,"Interviewers, Except Eligibility and Loan",480,500,20,4.2,280,320,620,19.04,"39,606",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,43-4121,"Library Assistants, Clerical",240,230,-10,-4.2,210,150,350,18.10,"37,638",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,43-4131,Loan Interviewers and Clerks,250,250,0,0.0,70,150,220,23.28,"48,443",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,43-4151,Order Clerks,330,310,-20,-6.1,140,200,320,18.47,"38,398","Some college, no degree",None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",280,280,0,0.0,110,170,280,22.63,"47,058",Associate's degree,None,None
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,43-4171,Receptionists and Information Clerks,1790,1960,170,9.5,1050,1300,2520,17.38,"36,160",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,43-4199,"Information and Record Clerks, All Other",850,880,30,3.5,350,570,950,22.17,"46,111",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,3,43-5000,"Material Recording, Scheduling, Dispatching, and Distributing Workers",5340,5720,380,7.1,2060,3000,5440,0.00,0,N/A,N/A,N/A
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,43-5011,Cargo and Freight Agents,140,180,40,28.6,60,90,190,22.04,"45,830",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,43-5021,Couriers and Messengers,280,240,-40,-14.3,110,150,220,18.56,"38,596",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,43-5031,"Police, Fire, and Ambulance Dispatchers",230,240,10,4.3,80,130,220,30.38,"63,203",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,43-5032,"Dispatchers, Except Police, Fire, and Ambulance",740,840,100,13.5,280,440,820,22.20,"46,184",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,43-5051,Postal Service Clerks,140,160,20,14.3,70,50,140,27.72,"57,655",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,43-5052,Postal Service Mail Carriers,700,770,70,10.0,260,260,590,26.24,"54,584",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",200,210,10,5.0,110,70,190,31.43,"65,388",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,43-5061,"Production, Planning, and Expediting Clerks",700,790,90,12.9,270,480,840,23.17,"48,203",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,43-5071,"Shipping, Receiving, and Traffic Clerks",1990,2050,60,3.0,740,1190,1990,18.06,"37,555",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",210,240,30,14.3,80,130,240,17.99,"37,420",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,3,43-6000,Secretaries and Administrative Assistants,7150,7160,10,0.1,3640,4000,7650,0.00,0,N/A,N/A,N/A
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,43-6011,Executive Secretaries and Executive Administrative Assistants,780,650,-130,-16.7,370,400,640,30.13,"62,682",High school diploma or equivalent,Less than 5 years,None
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,43-6013,Medical Secretaries,2400,2790,390,16.3,1320,1450,3160,18.96,"39,439",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",3670,3490,-180,-4.9,1820,2000,3640,21.88,"45,497",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,3,43-9000,Other Office and Administrative Support Workers,10540,10300,-240,-2.3,5350,6310,11420,0.00,0,N/A,N/A,N/A
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,43-9021,Data Entry Keyers,630,470,-160,-25.4,240,350,430,17.32,"36,035",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,43-9022,Word Processors and Typists,70,50,-20,-28.6,30,30,40,22.65,"47,100",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,43-9041,Insurance Claims and Policy Processing Clerks,660,680,20,3.0,240,390,650,22.67,"47,152",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",400,350,-50,-12.5,190,230,370,15.77,"32,798",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,43-9061,"Office Clerks, General",7660,7610,-50,-0.7,4170,4530,8650,18.30,"38,065",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,43-9071,"Office Machine Operators, Except Computer",80,50,-30,-37.5,40,40,50,16.82,"34,984",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,43-9199,"Office and Administrative Support Workers, All Other",1050,1080,30,2.9,440,740,1210,15.00,"31,200",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,2,45-0000,"Farming, Fishing, and Forestry Occupations",34050,35740,1690,5.0,14680,39690,56060,15.00,"31,200",N/A,N/A,N/A
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,3,45-1000,"Supervisors of Farming, Fishing, and Forestry Workers",1480,1590,110,7.4,570,1600,2280,0.00,0,N/A,N/A,N/A
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",1480,1590,110,7.4,570,1600,2280,23.09,"48,022",High school diploma or equivalent,Less than 5 years,None
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,3,45-2000,Agricultural Workers,32420,34000,1580,4.9,14050,37910,53540,0.00,0,N/A,N/A,N/A
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,45-2011,Agricultural Inspectors,260,270,10,3.8,120,310,440,23.68,"49,260",Bachelor's degree,None,Moderate-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,45-2041,"Graders and Sorters, Agricultural Products",1090,1120,30,2.8,430,1190,1650,15.00,"31,200",No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,45-2091,Agricultural Equipment Operators,1160,1230,70,6.0,510,1370,1950,17.14,"35,660",No formal educational credential,None,Moderate-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",28040,29620,1580,5.6,12220,32970,46770,15.00,"31,200",No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,3,45-4000,"Forest, Conservation, and Logging Workers",160,160,0,0.0,70,180,250,0.00,0,N/A,N/A,N/A
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,45-4011,Forest and Conservation Workers,90,80,-10,-11.1,40,90,120,15.48,"32,193",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,2,47-0000,Construction and Extraction Occupations,17010,19350,2340,13.8,5270,12070,19680,27.91,"58,061",N/A,N/A,N/A
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,3,47-1000,Supervisors of Construction and Extraction Workers,1460,1660,200,13.7,440,1010,1650,0.00,0,N/A,N/A,N/A
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,1460,1660,200,13.7,440,1010,1650,38.15,"79,338",High school diploma or equivalent,5 years or more,None
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,3,47-2000,Construction Trades Workers,14130,16160,2030,14.4,4310,9910,16250,0.00,0,N/A,N/A,N/A
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,47-2021,Brickmasons and Blockmasons,90,90,0,0.0,30,50,80,30.19,"62,787",High school diploma or equivalent,None,Apprenticeship
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,47-2031,Carpenters,2900,3270,370,12.8,890,1910,3170,28.29,"58,856",High school diploma or equivalent,None,Apprenticeship
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,47-2041,Carpet Installers,140,150,10,7.1,40,80,130,22.01,"45,782",No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,47-2044,Tile and Marble Setters,320,390,70,21.9,90,200,360,23.13,"48,125",No formal educational credential,None,Long-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,47-2051,Cement Masons and Concrete Finishers,720,780,60,8.3,180,490,730,23.62,"49,126",No formal educational credential,None,Moderate-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,47-2061,Construction Laborers,2800,3280,480,17.1,890,2040,3410,21.98,"45,700",No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,47-2071,"Paving, Surfacing, and Tamping Equipment Operators",80,100,20,25.0,30,60,110,28.90,"60,104",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,47-2073,Operating Engineers and Other Construction Equipment Operators,750,840,90,12.0,260,570,920,32.56,"67,730",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,47-2081,Drywall and Ceiling Tile Installers,740,840,100,13.5,190,440,730,24.09,"50,106",No formal educational credential,None,Moderate-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,47-2082,Tapers,120,130,10,8.3,30,70,110,24.11,"50,147",No formal educational credential,None,Moderate-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,47-2111,Electricians,1500,1750,250,16.7,470,1190,1910,29.75,"61,869",High school diploma or equivalent,None,Apprenticeship
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,47-2121,Glaziers,110,130,20,18.2,30,90,140,21.30,"44,297",High school diploma or equivalent,None,Apprenticeship
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,47-2141,"Painters, Construction and Maintenance",970,1100,130,13.4,310,570,1010,22.62,"47,031",No formal educational credential,None,Moderate-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,47-2151,Pipelayers,80,80,0,0.0,20,60,80,25.01,"52,015",No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,47-2152,"Plumbers, Pipefitters, and Steamfitters",990,1110,120,12.1,310,750,1180,29.56,"61,487",High school diploma or equivalent,None,Apprenticeship
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,47-2161,Plasterers and Stucco Masons,290,330,40,13.8,90,160,290,28.02,"58,288",No formal educational credential,None,Long-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,47-2181,Roofers,460,530,70,15.2,120,340,530,29.08,"60,476",No formal educational credential,None,Moderate-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,47-2211,Sheet Metal Workers,400,430,30,7.5,110,270,410,28.41,"59,093",High school diploma or equivalent,None,Apprenticeship
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,47-2221,Structural Iron and Steel Workers,150,160,10,6.7,40,120,170,23.85,"49,590",High school diploma or equivalent,None,Apprenticeship
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,47-2231,Solar Photovoltaic Installers,200,340,140,70.0,90,220,450,23.23,"48,310",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,3,47-3000,"Helpers, Construction Trades",470,530,60,12.8,150,430,640,0.00,0,N/A,N/A,N/A
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",130,140,10,7.7,40,120,170,18.44,"38,353",No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,47-3012,Helpers--Carpenters,90,110,20,22.2,30,90,140,18.58,"38,642",No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,47-3013,Helpers--Electricians,50,50,0,0.0,20,50,70,17.57,"36,558",High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",50,50,0,0.0,10,40,50,17.03,"35,413",No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,47-3019,"Helpers, Construction Trades, All Other",100,110,10,10.0,30,90,130,17.77,"36,950",No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,3,47-4000,Other Construction and Related Workers,750,810,60,8.0,320,540,920,0.00,0,N/A,N/A,N/A
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,47-4011,Construction and Building Inspectors,260,260,0,0.0,140,160,300,37.37,"77,728",High school diploma or equivalent,5 years or more,Moderate-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,47-4031,Fence Erectors,80,90,10,12.5,20,60,90,17.89,"37,208",No formal educational credential,None,Moderate-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,47-4041,Hazardous Materials Removal Workers,150,160,10,6.7,60,120,190,22.51,"46,825",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,47-4051,Highway Maintenance Workers,140,160,20,14.3,60,100,180,22.29,"46,360",High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,3,47-5000,Extraction Workers,200,210,10,5.0,60,180,250,0.00,0,N/A,N/A,N/A
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,47-5022,"Excavating and Loading Machine and Dragline Operators, Surface Mining",70,80,10,14.3,20,70,100,23.85,"49,590",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,47-5097,"Earth Drillers, Except Oil and Gas; and Explosives Workers, Ordnance Handling Experts, and Blasters",50,50,0,0.0,20,40,60,0.00,0,High school diploma or equivalent,Less than 5 years,Long-term on-the-job training
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,2,49-0000,"Installation, Maintenance, and Repair Occupations",13950,15650,1700,12.2,4650,9460,15810,23.65,"49,194",N/A,N/A,N/A
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,3,49-1000,"Supervisors of Installation, Maintenance, and Repair Workers",1170,1310,140,12.0,360,740,1240,0.00,0,N/A,N/A,N/A
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,4,49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",1170,1310,140,12.0,360,740,1240,35.71,"74,281",High school diploma or equivalent,Less than 5 years,None
Metropolitan Area,Fresno MSA (Fresno County),2020-2030,3,49-2000,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",1180,1260,80,6.8,370,860,1310,0.00,0,N/A,N/A,N/A
